md5hash,fitzpatrick_scale,fitzpatrick_centaur,label,nine_partition_label,three_partition_label,qc,url,url_alphanum,tone_group,image_path,embedding_idx
340b5a20a94e4c3894f36638ae54ad37,2,2,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/g/generalised_pustular_psoriasis/generalised_pustular_psoriasis6.jpg,httpwwwdermaamincomsiteimagesclinicalpicggeneralisedpustularpsoriasisgeneralisedpustularpsoriasis6jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/340b5a20a94e4c3894f36638ae54ad37.jpg,0
03a845150326e92dfb5d40e6e966b015,2,1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/parapsoriasis-small-plaque-type/parapsoriasis-small-plaque-type2.jpg,httpwwwdermaamincomsiteimagesclinicalpicpparapsoriasissmallplaquetypeparapsoriasissmallplaquetype2jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/03a845150326e92dfb5d40e6e966b015.jpg,1
0821aaf4a400bf754aa23079f5b7de62,1,-1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-inversa/psoriasis-inversa23.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisinversapsoriasisinversa23jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/0821aaf4a400bf754aa23079f5b7de62.jpg,2
9b9a528a584709ca888b26239d73187e,3,3,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_chronic_plaque/psoriasis_chronic_plaque7.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasischronicplaquepsoriasischronicplaque7jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/9b9a528a584709ca888b26239d73187e.jpg,3
5932f160138bd7d717d8a7e7da15844f,2,2,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_nail/psoriasis_nail24.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisnailpsoriasisnail24jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/5932f160138bd7d717d8a7e7da15844f.jpg,4
fd50a59d38fec52b1503a7f8b4b6d609,2,3,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis/psoriasis65.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasispsoriasis65jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/fd50a59d38fec52b1503a7f8b4b6d609.jpg,5
7cf0ddd939d3579cb679cde71d0704c3,3,2,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_chronic_plaque/psoriasis_chronic_plaque20.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasischronicplaquepsoriasischronicplaque20jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/7cf0ddd939d3579cb679cde71d0704c3.jpg,6
9bf25f5c239b6db281195377f1a03815,1,2,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_chronic_plaque/psoriasis_chronic_plaque3.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasischronicplaquepsoriasischronicplaque3jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/9bf25f5c239b6db281195377f1a03815.jpg,7
84b44e09b2ae4de294be7e2022b39571,2,1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-in-a-child/psoriasis-in-a-child4.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisinachildpsoriasisinachild4jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/84b44e09b2ae4de294be7e2022b39571.jpg,8
07381b153e740766031a77e0da93c694,3,-1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-scalp/psoriasis-scalp14.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisscalppsoriasisscalp14jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/07381b153e740766031a77e0da93c694.jpg,9
736a41c9adaf208c557e1073b07443db,1,1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_nail/psoriasis_nail30.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisnailpsoriasisnail30jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/736a41c9adaf208c557e1073b07443db.jpg,10
5fa42e9ab996ca4c7b7adc7b57215a1a,2,1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/parapsoriasis-large-plaque/parapsoriasis-large-plaque13.jpg,httpwwwdermaamincomsiteimagesclinicalpicpparapsoriasislargeplaqueparapsoriasislargeplaque13jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/5fa42e9ab996ca4c7b7adc7b57215a1a.jpg,11
247b41e115427bfd34a214e6f5406477,3,2,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/parapsoriasis-en-goutte/parapsoriasis-en-goutte2.jpg,httpwwwdermaamincomsiteimagesclinicalpicpparapsoriasisengoutteparapsoriasisengoutte2jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/247b41e115427bfd34a214e6f5406477.jpg,12
d7d6c55a61235fcefbafc09db6c305cd,-1,1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis/psoriasis53.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasispsoriasis53jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/d7d6c55a61235fcefbafc09db6c305cd.jpg,13
1b66bbb999a9957b8fbc5c2dd98e32b9,3,1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-pustular/psoriasis-pustular16.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasispustularpsoriasispustular16jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/1b66bbb999a9957b8fbc5c2dd98e32b9.jpg,14
e4984a2cef00ed3d8368363e3b348c9c,2,1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-genital/psoriasis-genital1.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisgenitalpsoriasisgenital1jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/e4984a2cef00ed3d8368363e3b348c9c.jpg,15
bbc6fddf7d5fa46379739a50e2b30dc9,3,3,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_guttate/psoriasis_guttate43.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisguttatepsoriasisguttate43jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/bbc6fddf7d5fa46379739a50e2b30dc9.jpg,16
35f39fa464b0e5181cc1d11db9cfe297,2,2,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-palms-soles/psoriasis-palms-soles3.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasispalmssolespsoriasispalmssoles3jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/35f39fa464b0e5181cc1d11db9cfe297.jpg,17
3fd188d7375afe75d0d1f8f9949f3c5b,1,1,psoriasis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis/psoriasis66.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasispsoriasis66jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/3fd188d7375afe75d0d1f8f9949f3c5b.jpg,18
68fbf5da7fe2a0e372d359284b49109b,2,1,allergic contact dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/r/rhus_dermatitis/rhus_dermatitis52.jpg,httpwwwdermaamincomsiteimagesclinicalpicrrhusdermatitisrhusdermatitis52jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/68fbf5da7fe2a0e372d359284b49109b.jpg,19
9453012edc88817b411a46a28ab5d285,1,1,allergic contact dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis89.jpg,httpwwwdermaamincomsiteimagesclinicalpicaallergiccontactdermatitisallergiccontactdermatitis89jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/9453012edc88817b411a46a28ab5d285.jpg,20
206272350f30686a5adee4f9bec3e149,2,2,allergic contact dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/c/contact_dermatitis/contact_dermatitis68.jpg,httpwwwdermaamincomsiteimagesclinicalpicccontactdermatitiscontactdermatitis68jpg.jpg,Light (I-III),/content/drive/MyDrive/271 Final Project/images/206272350f30686a5adee4f9bec3e149.jpg,21
